AREA,HOLE,r,theta,Y,X
RIM,R1,10.225,0.654498469,6.224585612,8.112037904
RIM,R1,10.125,0.663225116,6.233572438,7.97860888
RIM,R1,10.175,0.671951762,6.334086428,7.963037996
RIM,R1,10.1,0.680678408,6.35613595,7.849174211
RIM,R1,10.075,0.689405055,6.408488069,7.774117678
RIM,R1,10,0.698131701,6.427876097,7.660444431
RIM,R1,10.1,0.706858347,6.559425288,7.680100253
RIM,R1,10.15,0.715584993,6.658999144,7.660302239
RIM,R1,10.125,0.72431164,6.709027988,7.583176673
RIM,R1,10.25,0.733038286,6.858588715,7.617234461
RIM,R1,10.35,0.741764932,6.992358649,7.630820436
RIM,R1,10.3,0.750491578,7.024583109,7.532943127
RIM,R1,10.25,0.759218225,7.055634401,7.435087303
RIM,R1,10.175,0.767944871,7.068148919,7.319282468
RIM,R1,10.2,0.776671517,7.149274496,7.275154581
RIM,R1,10.225,0.785398163,7.230166838,7.230166838
RIM,R1,10.3,0.79412481,7.346479626,7.219365422
RIM,R1,10.275,0.802851456,7.391216448,7.137614756
RIM,R1,10.12,0.811578102,7.340788635,6.966148306
RIM,R1,10.2,0.820304748,7.459807757,6.956383273
RIM,R1,10.075,0.829031395,7.428069168,6.806571342
RIM,R1,10.05,0.837758041,7.468605496,6.724762594
RIM,R1,10,0.846484687,7.489557208,6.626200482
RIM,R1,10.05,0.855211333,7.584831281,6.593393241
RIM,R1,10.075,0.86393798,7.661090103,6.543189087
RIM,R1,10.2,0.872664626,7.81365332,6.556433619
RIM,R1,10.25,0.881391272,7.90915198,6.519801758
RIM,R1,10.1,0.890117919,7.849174211,6.35613595
RIM,R1,10.175,0.898844565,7.963037996,6.334086428
RIM,R1,10.3,0.907571211,8.116510762,6.341313196
RIM,R1,10.325,0.916297857,8.191373239,6.285461755
RIM,R1,10.2,0.925024504,8.146082202,6.138513236
RIM,R1,10.225,0.93375115,8.2194364,6.082062995
RIM,R1,10.1,0.942477796,8.171071643,5.936631048
RIM,R1,10.05,0.951204442,8.181860959,5.836064705
RIM,R1,10.15,0.959931089,8.31439325,5.821800829
RIM,R1,10.175,0.968657735,8.385483969,5.763183461
RIM,R1,10.25,0.977384381,8.497635119,5.731727261
RIM,R1,10.35,0.986111027,8.630718258,5.712547798
RIM,R1,10.25,0.994837674,8.596373321,5.582550109
RIM,R1,10.225,1.00356432,8.623677533,5.493888495
RIM,R1,10.125,1.012290966,8.586486974,5.36543255
RIM,R1,10.175,1.021017612,8.675613672,5.316422896
RIM,R1,10.1,1.029744259,8.657389737,5.201884557
RIM,R1,10.075,1.038470905,8.680913791,5.113449007
RIM,R1,10,1.047197551,8.660254038,5
RIM,R1,10.1,1.055924197,8.790592529,4.973477957
RIM,R1,10.15,1.064650844,8.877390027,4.920817646
RIM,R1,10.125,1.07337749,8.898023266,4.831232448
RIM,R1,10.25,1.082104136,9.050212827,4.812083519
RIM,R1,10.35,1.090830782,9.180562123,4.779098147
RIM,R1,10.3,1.099557429,9.177367199,4.676102147
RIM,R1,10.25,1.108284075,9.173077206,4.573527584
RIM,R1,10.175,1.117010721,9.145229421,4.460426419
RIM,R1,10.2,1.125737368,9.2063699,4.391213187
RIM,R1,10.225,1.134464014,9.266997122,4.321271726
RIM,R1,10.3,1.14319066,9.37260109,4.271340399
RIM,R1,10.275,1.151917306,9.386679577,4.179219008
RIM,R1,10.12,1.160643953,9.280647953,4.035340578
RIM,R1,10.2,1.169370599,9.389149505,3.985457511
RIM,R1,10.075,1.178097245,9.30808629,3.855535581
RIM,R1,10.05,1.186823891,9.318197738,3.764796264
RIM,R1,10,1.195550538,9.30417568,3.665012267
RIM,R1,10.05,1.204277184,9.382483286,3.601597893
RIM,R1,10.075,1.21300383,9.436972307,3.528339366
RIM,R1,10.2,1.221730476,9.584864732,3.488605462
RIM,R1,10.25,1.230457123,9.662075284,3.421520307
RIM,R1,10.1,1.239183769,9.549737614,3.28823836
RIM,R1,10.175,1.247910415,9.649193192,3.228574879
RIM,R1,10.3,1.256637061,9.795882118,3.182875042
RIM,R1,10.325,1.265363708,9.847127516,3.10478738
RIM,R1,10.2,1.274090354,9.754308511,2.982191388
RIM,R1,10.225,1.282817,9.803931789,2.9040569
RIM,R1,10.1,1.291543646,9.708743129,2.783937294
RIM,R1,10.05,1.300270293,9.684486055,2.68574568
RIM,R1,10.15,1.308996939,9.804147137,2.627013308
RIM,R1,10.175,1.317723585,9.850902241,2.547616541
RIM,R1,10.25,1.326450232,9.945531194,2.47969943
RIM,R1,10.35,1.335176878,10.06402868,2.416159516
RIM,R1,10.25,1.343903524,9.987293164,2.305748307
RIM,R1,10.225,1.35263017,9.982626673,2.213095053
RIM,R1,10.125,1.361356817,9.903744457,2.10510587
RIM,R1,10.175,1.370083463,9.97073387,2.028568733
RIM,R1,10.1,1.378810109,9.914434553,1.927170853
RIM,R1,10.075,1.387536755,9.906293194,1.836022919
RIM,R1,10,1.396263402,9.84807753,1.736481777
RIM,R1,10.1,1.404990048,9.961484576,1.666980819
RIM,R1,10.15,1.413716694,10.02503666,1.58780982
RIM,R1,10.125,1.42244334,10.01378562,1.496570288
RIM,R1,10.25,1.431169987,10.1502477,1.426524285
RIM,R1,10.35,1.439896633,10.26145432,1.350946089
RIM,R1,10.3,1.448623279,10.22322536,1.255254237
RIM,R1,10.25,1.457349925,10.18411152,1.160332941
RIM,R1,10.175,1.466076572,10.11926029,1.063577114
RIM,R1,10.2,1.474803218,10.15304122,0.977626676
RIM,R1,10.225,1.483529864,10.18609079,0.89116747
RIM,R1,10.3,1.49225651,10.26824854,0.808128686
RIM,R1,10.275,1.500983157,10.24997062,0.716747768
RIM,R1,10.12,1.509709803,10.10112416,0.61781122
RIM,R1,10.2,1.518436449,10.18602125,0.533826754
RIM,R1,10.075,1.527163095,10.06541083,0.439465328
RIM,R1,10.05,1.535889742,10.04387781,0.350739942
RIM,R1,10,1.544616388,9.99657325,0.261769483
RIM,R1,10.05,1.553343034,10.04846934,0.175396685
RIM,R1,10.075,1.562069681,10.07461637,0.087919845
RIM,R1,10.2,1.570796327,10.2,6.24826E-16
RIM,R1,10.25,1.579522973,10.24960971,-0.089446989
RIM,R1,10.1,1.588249619,10.09846172,-0.176269305
RIM,R1,10.175,1.596976266,10.17151328,-0.266350449
RIM,R1,10.3,1.605702912,10.29372552,-0.359464816
RIM,R1,10.325,1.614429558,10.31517289,-0.450370175
RIM,R1,10.2,1.623156204,10.18602125,-0.533826754
RIM,R1,10.225,1.631882851,10.20592831,-0.624221317
RIM,R1,10.1,1.640609497,10.07539691,-0.704540385
RIM,R1,10.05,1.649336143,10.0190192,-0.788513912
RIM,R1,10.15,1.658062789,10.11137619,-0.884630789
RIM,R1,10.175,1.666789436,10.12815632,-0.975230532
RIM,R1,10.25,1.675516082,10.19384943,-1.071416748
RIM,R1,10.35,1.684242728,10.28346871,-1.171653262
RIM,R1,10.25,1.692969374,10.17359805,-1.24916077
RIM,R1,10.225,1.701696021,10.13752371,-1.334630315
RIM,R1,10.125,1.710422667,10.0264642,-1.409127647
RIM,R1,10.175,1.719149313,10.06323641,-1.503960758
RIM,R1,10.1,1.727875959,9.97565224,-1.579988097
RIM,R1,10.075,1.736602606,9.936827435,-1.662854629
RIM,R1,10,1.745329252,9.84807753,-1.736481777
RIM,R1,10.1,1.754055898,9.930874566,-1.840578807
RIM,R1,10.15,1.762782545,9.963515912,-1.936711303
RIM,R1,10.125,1.771509191,9.921737634,-2.018600336
RIM,R1,10.25,1.780235837,10.02601291,-2.131094831
RIM,R1,10.35,1.788962483,10.10466367,-2.240150004
RIM,R1,10.3,1.79768913,10.03601167,-2.31699586
RIM,R1,10.25,1.806415776,9.966791684,-2.39281498
RIM,R1,10.175,1.815142422,9.872759015,-2.461555288
RIM,R1,10.2,1.823869068,9.875105932,-2.553876041
RIM,R1,10.225,1.832595715,9.876591574,-2.646424736
RIM,R1,10.3,1.841322361,9.925393668,-2.752555274
RIM,R1,10.275,1.850049007,9.876963926,-2.832173831
RIM,R1,10.12,1.858775653,9.703255717,-2.874235288
RIM,R1,10.2,1.8675023,9.754308511,-2.982191388
RIM,R1,10.075,1.876228946,9.608698279,-3.02961093
RIM,R1,10.05,1.884955592,9.558117989,-3.105620793
RIM,R1,10,1.893682238,9.483236552,-3.173046564
RIM,R1,10.05,1.902408885,9.502461685,-3.271959952
RIM,R1,10.075,1.911135531,9.497113023,-3.363104107
RIM,R1,10.2,1.919862177,9.584864732,-3.488605462
RIM,R1,10.25,1.928588823,9.60088994,-3.589625658
RIM,R1,10.1,1.93731547,9.429162308,-3.61951629
RIM,R1,10.175,1.946042116,9.466998754,-3.729149982
RIM,R1,10.3,1.954768762,9.549993702,-3.858447912
RIM,R1,10.325,1.963495408,9.539056173,-3.951206439
RIM,R1,10.2,1.972222055,9.389149505,-3.985457511
RIM,R1,10.225,1.980948701,9.376939261,-4.07720923
RIM,R1,10.1,1.989675347,9.226809122,-4.108040095
RIM,R1,10.05,1.998401994,9.145110772,-4.167667089
RIM,R1,10.15,2.00712864,9.199024038,-4.289575357
RIM,R1,10.175,2.015855286,9.183805268,-4.38045041
RIM,R1,10.25,2.024581932,9.212638975,-4.493304255
RIM,R1,10.35,2.033308579,9.262570643,-4.618147366
RIM,R1,10.25,2.042035225,9.132816873,-4.653402622
RIM,R1,10.225,2.050761871,9.069685769,-4.72137957
RIM,R1,10.125,2.059488517,8.939844378,-4.753399573
RIM,R1,10.175,2.068215164,8.941964121,-4.855090386
RIM,R1,10.1,2.07694181,8.833659042,-4.896577164
RIM,R1,10.075,2.085668456,8.768833637,-4.961167368
RIM,R1,10,2.094395102,8.660254038,-5
RIM,R1,10.1,2.103121749,8.70245452,-5.126137466
RIM,R1,10.15,2.111848395,8.700248102,-5.22763646
RIM,R1,10.125,2.120575041,8.632981664,-5.290297968
RIM,R1,10.25,2.129301687,8.692492986,-5.431672458
RIM,R1,10.35,2.138028334,8.729101464,-5.561050946
RIM,R1,10.3,2.14675498,8.63830685,-5.609782061
RIM,R1,10.25,2.155481626,8.547329676,-5.657354099
RIM,R1,10.175,2.164208272,8.435457301,-5.689787793
RIM,R1,10.2,2.172934919,8.406087124,-5.777343617
RIM,R1,10.225,2.181661565,8.375829653,-5.864819062
RIM,R1,10.3,2.190388211,8.385389839,-5.981240444
RIM,R1,10.275,2.199114858,8.312649617,-6.039493467
RIM,R1,10.12,2.207841504,8.135031429,-6.019606602
RIM,R1,10.2,2.21656815,8.146082202,-6.138513236
RIM,R1,10.075,2.225294796,7.993034903,-6.133271397
RIM,R1,10.05,2.234021443,7.919508074,-6.187397827
RIM,R1,10,2.242748089,7.826081569,-6.225146366
RIM,R1,10.05,2.251474735,7.810316913,-6.32466993
RIM,R1,10.075,2.260201381,7.774117678,-6.408488069
RIM,R1,10.2,2.268928028,7.81365332,-6.556433619
RIM,R1,10.25,2.277654674,7.794161147,-6.656842495
RIM,R1,10.1,2.28638132,7.62256676,-6.626196193
RIM,R1,10.175,2.295107966,7.620624459,-6.742158991
RIM,R1,10.3,2.303834613,7.654391702,-6.892045245
RIM,R1,10.325,2.312561259,7.612388503,-6.975468894
RIM,R1,10.2,2.321287905,7.459807757,-6.956383273
RIM,R1,10.225,2.330014551,7.416952944,-7.038425536
RIM,R1,10.1,2.338741198,7.265331983,-7.016049542
RIM,R1,10.05,2.347467844,7.168167014,-7.044138106
RIM,R1,10.15,2.35619449,7.177133829,-7.177133829
RIM,R1,10.175,2.364921136,7.131751764,-7.25732332
RIM,R1,10.25,2.373647783,7.120248297,-7.373232953
RIM,R1,10.35,2.382374429,7.124469858,-7.50762474
RIM,R1,10.25,2.391101075,6.990483191,-7.496375442
RIM,R1,10.225,2.399827721,6.907909873,-7.538660769
RIM,R1,10.125,2.408554368,6.774947389,-7.524341358
RIM,R1,10.175,2.417281014,6.742158991,-7.620624459
RIM,R1,10.1,2.42600766,6.626196193,-7.62256676
RIM,R1,10.075,2.434734307,6.543189087,-7.661090103
RIM,R1,10,2.443460953,6.427876097,-7.660444431
RIM,R1,10.1,2.452187599,6.424390025,-7.793408292
RIM,R1,10.15,2.460914245,6.387601969,-7.888031509
RIM,R1,10.125,2.469640892,6.302960696,-7.923907588
RIM,R1,10.25,2.478367538,6.310530122,-8.077110224
RIM,R1,10.35,2.487094184,6.30068079,-8.211207072
RIM,R1,10.3,2.49582083,6.198694738,-8.225945753
RIM,R1,10.25,2.504547477,6.096933564,-8.239532821
RIM,R1,10.175,2.513274123,5.980714942,-8.231747918
RIM,R1,10.2,2.522000769,5.923170148,-8.303978287
RIM,R1,10.225,2.530727415,5.864819062,-8.375829653
RIM,R1,10.3,2.539454062,5.83398424,-8.488499743
RIM,R1,10.275,2.548180708,5.745707083,-8.518361058
RIM,R1,10.12,2.556907354,5.585602291,-8.438924519
RIM,R1,10.2,2.565634,5.555318157,-8.554439793
RIM,R1,10.075,2.574360647,5.413293554,-8.497168817
RIM,R1,10.05,2.583087293,5.325688606,-8.522883366
RIM,R1,10,2.591813939,5.224985647,-8.526401644
RIM,R1,10.05,2.600540585,5.176132653,-8.614531372
RIM,R1,10.075,2.609267232,5.113449007,-8.680913791
RIM,R1,10.2,2.617993878,5.1,-8.833459119
RIM,R1,10.25,2.626720524,5.047341491,-8.921145883
RIM,R1,10.1,2.635447171,4.896577164,-8.833659042
RIM,R1,10.175,2.644173817,4.855090386,-8.941964121
RIM,R1,10.3,2.652900463,4.835557097,-9.094360206
RIM,R1,10.325,2.661627109,4.767554432,-9.158386853
RIM,R1,10.2,2.670353756,4.630703097,-9.088266547
RIM,R1,10.225,2.679080402,4.562372639,-9.150703847
RIM,R1,10.1,2.687807048,4.427548583,-9.077819868
RIM,R1,10.05,2.696533694,4.326636523,-9.070982108
RIM,R1,10.15,2.705260341,4.289575357,-9.199024038
RIM,R1,10.175,2.713986987,4.219503744,-9.258855931
RIM,R1,10.25,2.722713633,4.169050592,-9.363840941
RIM,R1,10.35,2.731440279,4.127052863,-9.49157177
RIM,R1,10.25,2.740166926,4.004994067,-9.435174748
RIM,R1,10.225,2.748893572,3.912938096,-9.44666822
RIM,R1,10.125,2.757620218,3.792891758,-9.387736527
RIM,R1,10.175,2.766346864,3.729149982,-9.466998754
RIM,R1,10.1,2.775073511,3.61951629,-9.429162308
RIM,R1,10.075,2.783800157,3.528339366,-9.436972307
RIM,R1,10,2.792526803,3.420201433,-9.396926208
RIM,R1,10.1,2.801253449,3.371449278,-9.52067906
RIM,R1,10.15,2.809980096,3.304516768,-9.597013542
RIM,R1,10.125,2.818706742,3.212709646,-9.601777009
RIM,R1,10.25,2.827433388,3.167424192,-9.748329292
RIM,R1,10.35,2.836160034,3.112305025,-9.87097044
RIM,R1,10.3,2.844886681,3.011428559,-9.849938986
RIM,R1,10.25,2.853613327,2.911157283,-9.827902282
RIM,R1,10.175,2.862339973,2.804610095,-9.780837756
RIM,R1,10.2,2.87106662,2.725831436,-9.829030623
RIM,R1,10.225,2.879793266,2.646424736,-9.876591574
RIM,R1,10.3,2.888519912,2.578914042,-9.971920696
RIM,R1,10.275,2.897246558,2.485747477,-9.969788587
RIM,R1,10.12,2.905973205,2.362467082,-9.840383594
RIM,R1,10.2,2.914699851,2.294500754,-9.938574661
RIM,R1,10.075,2.923426497,2.18062911,-9.836182272
RIM,R1,10.05,2.932153143,2.089512493,-9.830383387
RIM,R1,10,2.94087979,1.993679344,-9.799247046
RIM,R1,10.05,2.949606436,1.917630404,-9.865353194
RIM,R1,10.075,2.958333082,1.836022919,-9.906293194
RIM,R1,10.2,2.967059728,1.771211412,-10.04503908
RIM,R1,10.25,2.975786375,1.69173796,-10.10942742
RIM,R1,10.1,2.984513021,1.579988097,-9.97565224
RIM,R1,10.175,2.993239667,1.503960758,-10.06323641
RIM,R1,10.3,3.001966313,1.43348294,-10.19976111
RIM,R1,10.325,3.01069296,1.347682935,-10.23666819
RIM,R1,10.2,3.019419606,1.243067303,-10.12397075
RIM,R1,10.225,3.028146252,1.157502861,-10.15927222
RIM,R1,10.1,3.036872898,1.055737479,-10.04467114
RIM,R1,10.05,3.045599545,0.963249813,-10.00373179
RIM,R1,10.15,3.054326191,0.884630789,-10.11137619
RIM,R1,10.175,3.063052837,0.798321299,-10.14363387
RIM,R1,10.25,3.071779484,0.715003856,-10.22503152
RIM,R1,10.35,3.08050613,0.631852384,-10.33069516
RIM,R1,10.25,3.089232776,0.536443551,-10.23595273
RIM,R1,10.225,3.097959422,0.446008236,-10.21526807
RIM,R1,10.125,3.106686069,0.353357404,-10.11883212
RIM,R1,10.175,3.115412715,0.266350449,-10.17151328
RIM,R1,10.1,3.124139361,0.176269305,-10.09846172
RIM,R1,10.075,3.132866007,0.087919845,-10.07461637
RIM,R1,10,3.141592654,3.23114E-14,-10
RIM,R1,10.1,3.1503193,-0.088138009,-10.09961542
RIM,R1,10.15,3.159045946,-0.177141925,-10.14845411
RIM,R1,10.125,3.167772592,-0.265041602,-10.12153042
RIM,R1,10.25,3.176499239,-0.357719841,-10.24375598
RIM,R1,10.35,3.185225885,-0.451460659,-10.34014909
RIM,R1,10.3,3.193952531,-0.539060349,-10.28588421
RIM,R1,10.25,3.202679177,-0.62574753,-10.23088168
RIM,R1,10.175,3.211405824,-0.70977212,-10.15021421
RIM,R1,10.2,3.22013247,-0.800282776,-10.1685568
RIM,R1,10.225,3.228859116,-0.89116747,-10.18609079
RIM,R1,10.3,3.237585762,-0.987211251,-10.25258084
RIM,R1,10.275,3.246312409,-1.07402996,-10.21871247
RIM,R1,10.12,3.255039055,-1.145616523,-10.05494718
RIM,R1,10.2,3.263765701,-1.243067303,-10.12397075
RIM,R1,10.075,3.272492347,-1.315051387,-9.988806978
RIM,R1,10.05,3.281218994,-1.398689665,-9.952194091
RIM,R1,10,3.28994564,-1.478094111,-9.890158634
RIM,R1,10.05,3.298672286,-1.572166374,-9.926267823
RIM,R1,10.075,3.307398933,-1.662854629,-9.936827435
RIM,R1,10.2,3.316125579,-1.771211412,-10.04503908
RIM,R1,10.25,3.324852225,-1.867914136,-10.0783628
RIM,R1,10.1,3.333578871,-1.927170853,-9.914434553
RIM,R1,10.175,3.342305518,-2.028568733,-9.97073387
RIM,R1,10.3,3.351032164,-2.141490415,-10.07492029
RIM,R1,10.325,3.35975881,-2.234739014,-10.08025627
RIM,R1,10.2,3.368485456,-2.294500754,-9.938574661
RIM,R1,10.225,3.377212103,-2.386978845,-9.942482436
RIM,R1,10.1,3.385938749,-2.443411146,-9.799986835
RIM,R1,10.05,3.394665395,-2.516319041,-9.729883786
RIM,R1,10.15,3.403392041,-2.627013308,-9.804147137
RIM,R1,10.175,3.412118688,-2.719150477,-9.804939861
RIM,R1,10.25,3.420845334,-2.825282897,-9.852932383
RIM,R1,10.35,3.42957198,-2.939558818,-9.923784256
RIM,R1,10.25,3.438298626,-2.996809973,-9.802123749
RIM,R1,10.225,3.447025273,-3.0747168,-9.751755821
RIM,R1,10.125,3.455751919,-3.128797068,-9.629447227
RIM,R1,10.175,3.464478565,-3.228574879,-9.649193192
RIM,R1,10.1,3.473205211,-3.28823836,-9.549737614
RIM,R1,10.075,3.481931858,-3.363104107,-9.497113023
RIM,R1,10,3.490658504,-3.420201433,-9.396926208
RIM,R1,10.1,3.49938515,-3.537094551,-9.460389111
RIM,R1,10.15,3.508111797,-3.637434688,-9.475841329
RIM,R1,10.125,3.516838443,-3.710824921,-9.420477876
RIM,R1,10.25,3.525565089,-3.839717583,-9.503634509
RIM,R1,10.35,3.534291735,-3.960773525,-9.562153161
RIM,R1,10.3,3.543018382,-4.024530623,-9.481199991
RIM,R1,10.25,3.551745028,-4.087177956,-9.399865762
RIM,R1,10.175,3.560471674,-4.138545343,-9.295325032
RIM,R1,10.2,3.56919832,-4.229871075,-9.281604963
RIM,R1,10.225,3.577924967,-4.321271726,-9.266997122
RIM,R1,10.3,3.586651613,-4.434264297,-9.296628429
RIM,R1,10.275,3.595378259,-4.504263533,-9.235108826
RIM,R1,10.12,3.604104905,-4.515521869,-9.056735739
RIM,R1,10.2,3.612831552,-4.630703097,-9.088266547
RIM,R1,10.075,3.621558198,-4.652117278,-8.936634144
RIM,R1,10.05,3.630284844,-4.718189206,-8.873623308
RIM,R1,10,3.63901149,-4.771587603,-8.788171127
RIM,R1,10.05,3.647738137,-4.872336683,-8.789928057
RIM,R1,10.075,3.656464783,-4.961167368,-8.768833637
RIM,R1,10.2,3.665191429,-5.1,-8.833459119
RIM,R1,10.25,3.673918075,-5.20226822,-8.831698895
RIM,R1,10.1,3.682644722,-5.201884557,-8.657389737
RIM,R1,10.175,3.691371368,-5.316422896,-8.675613672
RIM,R1,10.3,3.700098014,-5.458168422,-8.73489539
RIM,R1,10.325,3.70882466,-5.547618456,-8.708016678
RIM,R1,10.2,3.717551307,-5.555318157,-8.554439793
RIM,R1,10.225,3.726277953,-5.643555675,-8.526482531
RIM,R1,10.1,3.735004599,-5.647848325,-8.373279483
RIM,R1,10.05,3.743731246,-5.692382681,-8.282468196
RIM,R1,10.15,3.752457892,-5.821800829,-8.31439325
RIM,R1,10.175,3.761184538,-5.908652574,-8.283625399
RIM,R1,10.25,3.769911184,-6.024798836,-8.292424192
RIM,R1,10.35,3.778637831,-6.156415843,-8.319918507
RIM,R1,10.25,3.787364477,-6.168603987,-8.186013978
RIM,R1,10.225,3.796091123,-6.224585612,-8.112037904
RIM,R1,10.125,3.804817769,-6.233572438,-7.97860888
RIM,R1,10.175,3.813544416,-6.334086428,-7.963037996
RIM,R1,10.1,3.822271062,-6.35613595,-7.849174211
RIM,R1,10.075,3.830997708,-6.408488069,-7.774117678
RIM,R1,10,3.839724354,-6.427876097,-7.660444431
RIM,R1,10.1,3.848451001,-6.559425288,-7.680100253
RIM,R1,10.15,3.857177647,-6.658999144,-7.660302239
RIM,R1,10.125,3.865904293,-6.709027988,-7.583176673
RIM,R1,10.25,3.874630939,-6.858588715,-7.617234461
RIM,R1,10.35,3.883357586,-6.992358649,-7.630820436
RIM,R1,10.3,3.892084232,-7.024583109,-7.532943127
RIM,R1,10.25,3.900810878,-7.055634401,-7.435087303
RIM,R1,10.175,3.909537524,-7.068148919,-7.319282468
RIM,R1,10.2,3.918264171,-7.149274496,-7.275154581
RIM,R1,10.225,3.926990817,-7.230166838,-7.230166838
RIM,R1,10.3,3.935717463,-7.346479626,-7.219365422
RIM,R1,10.275,3.94444411,-7.391216448,-7.137614756
RIM,R1,10.12,3.953170756,-7.340788635,-6.966148306
RIM,R1,10.2,3.961897402,-7.459807757,-6.956383273
RIM,R1,10.075,3.970624048,-7.428069168,-6.806571342
RIM,R1,10.05,3.979350695,-7.468605496,-6.724762594
RIM,R1,10,3.988077341,-7.489557208,-6.626200482
RIM,R1,10.05,3.996803987,-7.584831281,-6.593393241
RIM,R1,10.075,4.005530633,-7.661090103,-6.543189087
RIM,R1,10.2,4.01425728,-7.81365332,-6.556433619
RIM,R1,10.25,4.022983926,-7.90915198,-6.519801758
RIM,R1,10.1,4.031710572,-7.849174211,-6.35613595
RIM,R1,10.175,4.040437218,-7.963037996,-6.334086428
RIM,R1,10.3,4.049163865,-8.116510762,-6.341313196
RIM,R1,10.325,4.057890511,-8.191373239,-6.285461755
RIM,R1,10.2,4.066617157,-8.146082202,-6.138513236
RIM,R1,10.225,4.075343803,-8.2194364,-6.082062995
RIM,R1,10.1,4.08407045,-8.171071643,-5.936631048
RIM,R1,10.05,4.092797096,-8.181860959,-5.836064705
